"","Departamento","Provincia","Municipio","PobRuralProp2001","mas_per2002"
"1","Beni","Cercado","San Javier",1,0.004
"2","Beni","Cercado","Trinidad",0.055313082300564,0.0211
"3","Beni","Iténez","Baures",0.539893617021277,0.0085
"4","Beni","Iténez","Huacaraje",1,0.001
"5","Beni","Iténez","Magdalena",0.35446104158256,0.0109
"6","Beni","José Ballivián","Reyes",0.440819627932057,0.0109
"7","Beni","José Ballivián","Rurrenabaque",0.381035996488148,0.1912
"8","Beni","José Ballivián","San Borja",0.436516020137939,0.1008
"9","Beni","José Ballivián","Santa Rosa",0.553904170363798,0.0214
"10","Beni","Mamoré","Puerto Siles",1,0
"11","Beni","Mamoré","San Joaquin",0.354732208363903,0.0025
"12","Beni","Mamoré","San Ramon",0.353298464653282,0
"13","Beni","Marbán","Loreto",1,0.0044
"14","Beni","Marbán","San Andres",1,0.0314
"15","Beni","Moxos","San Ignacio",0.589105022409093,0.0347
"16","Beni","Vaca Díez","Guayaramerin",0.181708040747701,0.0116
"17","Beni","Vaca Díez","Riberalta",0.150914092422707,0.0294
"18","Beni","Yacuma","Exaltacion",1,0.003
"19","Beni","Yacuma","Santa Ana de Yacuma",0.309692291197598,0.0047
"20","Chuquisaca","Belisario Boeto","Villa Serrano",0.765659363036572,0.1285
"21","Chuquisaca","Hernando Siles","Huacareta",1,0.0308
"22","Chuquisaca","Hernando Siles","Monteagudo",0.72513582855418,0.0739
"23","Chuquisaca","Jaime Zudáñez","Icla",1,0.3362
"24","Chuquisaca","Jaime Zudáñez","Mojocoya",1,0.3169
"25","Chuquisaca","Jaime Zudáñez","Presto",1,0.3394
"26","Chuquisaca","Jaime Zudáñez","Zudanez",1,0.132
"27","Chuquisaca","Juana Azurduy de Padilla","Azurduy",1,0.1274
"28","Chuquisaca","Juana Azurduy de Padilla","Tarvita",1,0.3825
"29","Chuquisaca","Luis Calvo","Huacaya",1,0.008
"30","Chuquisaca","Luis Calvo","Machareti",1,0.0256
"31","Chuquisaca","Luis Calvo","Villa Vaca Guzman",0.78349460364719,0.0578
"32","Chuquisaca","Nor Cinti","Camargo",0.67863516310943,0.0583
"33","Chuquisaca","Nor Cinti","Incahuasi",1,0.0808
"34","Chuquisaca","Nor Cinti","San Lucas",1,0.1104
"35","Chuquisaca","Oropeza","Poroma",1,0.492
"36","Chuquisaca","Oropeza","Sucre",0.101502470131339,0.1681
"37","Chuquisaca","Oropeza","Yotala",1,0.333
"38","Chuquisaca","Sud Cinti","Villa Abecia",1,0.0689
"39","Chuquisaca","Sud Cinti","Culpina",0.88030734206033,0.0642
"40","Chuquisaca","Sud Cinti","Las Carreras",1,0.0454
"41","Chuquisaca","Tomina","El Villar",1,0.1358
"42","Chuquisaca","Tomina","Padilla",0.783951600063684,0.0923
"43","Chuquisaca","Tomina","Sopachui",1,0.2569
"44","Chuquisaca","Tomina","Tomina",1,0.1961
"45","Chuquisaca","Tomina","Villa Alcala",1,0.1341
"46","Chuquisaca","Yamparaéz","Tarabuco",0.875115065971157,0.3911
"47","Chuquisaca","Yamparaéz","Yamparaez",1,0.2331
"48","Cochabamba","Arani","Arani",0.695719979206377,0.3948
"49","Cochabamba","Arani","Vacas",1,0.6805
"50","Cochabamba","Arque","Arque",1,0.5744
"51","Cochabamba","Arque","Tacopaya",1,0.5499
