Time,Time Code,Country Name,Country Code,Ease of doing business rank (1=most business-friendly regulations) [IC.BUS.EASE.XQ],GDP (current US$) [NY.GDP.MKTP.CD],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]
2019,YR2019,Albania,ALB,82,15401826127.2539,18.1443771903866
2019,YR2019,Andorra,AND,..,3155150255.91195,..
2019,YR2019,Armenia,ARM,47,13619290539.2116,22.2851709900772
2019,YR2019,Austria,AUT,27,444596155845.254,25.5828349182075
2019,YR2019,Azerbaijan,AZE,28,48174235294.1176,14.2188526451777
2019,YR2019,Belarus,BLR,49,64410122847.3508,13.3015160119125
2019,YR2019,Belgium,BEL,46,535865804349.803,22.6341104905571
2019,YR2019,Bosnia and Herzegovina,BIH,90,20482608755.379,19.8265971899192
2019,YR2019,Bulgaria,BGR,61,68881010245.5498,20.4828150913513
2019,YR2019,Channel Islands,CHI,..,10381669645.1366,..
2019,YR2019,Croatia,HRV,51,61470295887.8384,21.0750360737608
2019,YR2019,Cyprus,CYP,54,25947027570.4262,23.2993930370698
2019,YR2019,Czechia,CZE,41,252548179964.897,14.7687696689181
2019,YR2019,Denmark,DNK,4,346498737961.635,34.8340429595631
2019,YR2019,Estonia,EST,18,31081901909.2156,21.2929535588773
2019,YR2019,Faroe Islands,FRO,..,3266432734.22819,..
2019,YR2019,Finland,FIN,20,268514916972.549,20.6684788499862
2019,YR2019,France,FRA,33,2728870246705.88,24.5146627776513
2019,YR2019,Georgia,GEO,7,17470436258.5131,23.1173329727924
2019,YR2019,Germany,DEU,22,3889177589254.9,11.4057701109061
2019,YR2019,Gibraltar,GIB,..,..,..
2019,YR2019,Greece,GRC,79,205252760889.364,26.1803523188966
2019,YR2019,Greenland,GRL,..,2997309971.87623,..
2019,YR2019,Hungary,HUN,52,164020460331.659,22.3640562554323
2019,YR2019,Iceland,ISL,26,24681343649.2952,21.9320134156456
2019,YR2019,Ireland,IRL,24,398933010007.356,17.7130081990219
2019,YR2019,Isle of Man,IMN,..,7314966839.12782,..
2019,YR2019,Italy,ITA,58,2011302198827.45,24.5767049036025
2019,YR2019,Kazakhstan,KAZ,25,181667184854.501,11.78694274063
2019,YR2019,Kosovo,XKX,57,7899737577.47286,..
2019,YR2019,Kyrgyz Republic,KGZ,80,9371275264.36735,15.9638338680814
2019,YR2019,Latvia,LVA,19,34225547537.0745,21.3392266442121
2019,YR2019,Liechtenstein,LIE,..,6436467007.11932,..
