"today","region","sex","age","married","christ","children","education","gaccra","pay_bribe","surveyChoice","rand_number","rand_number6","rand_number2_2","rand_number2_3","rand_number2_4","rand_number2_5","rand_number2_6","gender","corrupt","financial_pressure","john","ethnic_1","ethnic_2","ethnic_3","ethnic_4","ethnic_5","ethnic_6","ethnic_7","ethnic_8","ethnic_9","ethnic_10","ethnic_11","ethnic_12","ethnic_13","ethnic_14","ethnic_15","ethnic_16","ethnic_17","ethnic_18","ethnic_19","ethnic_20","ethnic_21"
"18-Sep-17",2,0,45,1,1,2,1,0,1,4,NA,0.736297319,NA,NA,0.755175742,NA,NA,3,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,40,1,1,5,9,0,NA,6,NA,0.578621979,NA,NA,NA,NA,0.330973738,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,34,0,1,0,3,0,NA,4,NA,0.800588428,NA,NA,0.334548853,NA,NA,4,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,53,1,1,8,4,0,1,3,NA,0.973812299,NA,0.288105957,NA,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,99,1,1,8,2,0,1,4,NA,0.21747298,NA,NA,0.488729487,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,40,0,1,0,5,0,1,6,NA,0.640418231,NA,NA,NA,NA,0.694865295,2,6,300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,34,1,1,5,3,0,1,6,NA,0.371870638,NA,NA,NA,NA,0.394560369,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,29,1,1,4,3,0,NA,1,0.814069777,0.042834824,NA,NA,NA,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,60,1,1,3,3,0,1,2,NA,0.825986541,0.76800052,NA,NA,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,30,1,1,1,9,0,NA,3,NA,0.347667288,NA,0.542320012,NA,NA,NA,1,7,400,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",3,0,25,0,1,0,5,0,NA,5,NA,0.504557731,NA,NA,NA,0.924551904,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18-Sep-17",3,1,64,1,1,4,1,0,NA,5,NA,0.617817038,NA,NA,NA,0.989708284,NA,2,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18-Sep-17",3,0,35,0,1,4,3,0,NA,3,NA,0.727054692,NA,0.176108739,NA,NA,NA,2,6,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18-Sep-17",3,1,34,0,1,0,6,0,NA,5,NA,0.359116381,NA,NA,NA,0.641293982,NA,1,7,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18-Sep-17",3,0,45,1,1,2,1,0,NA,5,NA,0.432656762,NA,NA,NA,0.021369528,NA,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18-Sep-17",1,1,43,1,1,3,6,1,1,3,NA,0.148523896,NA,0.853655693,NA,NA,NA,5,3,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,29,0,1,0,6,1,NA,5,NA,0.247701295,NA,NA,NA,0.130015952,NA,4,4,50,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,40,1,1,2,6,1,1,6,NA,0.789932836,NA,NA,NA,NA,0.221401253,2,6,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,22,0,1,0,6,1,1,1,0.450213526,0.610591034,NA,NA,NA,NA,NA,1,7,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,25,0,1,1,9,1,1,3,NA,0.55496236,NA,0.578996762,NA,NA,NA,2,6,500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",3,1,46,1,1,4,5,0,NA,2,NA,0.965104244,0.031386937,NA,NA,NA,NA,1,7,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
